"Longitude","Latitude","Elevation of Water Level","Name","Date of Sample","Rock Unit","Attributes"

-96.66695,33.34778,408,"18-43-204","11-14-77","Woodbine"
-96.5475,33.34889,228,"18-44-202","2-10-77","Woodbine"
-96.62055,33.26028,278,"18-44-702","11-18-77","Woodbine"
-96.50111,33.29055,258,"18-44-902","11-18-77","Woodbine"
-96.46194,33.36306,164,"18-45-101","3-9-77","Woodbine"
-96.40195,33.29834,198,"18-45-604","3-9-77","Woodbine"
-96.83111,33.21861,387,"18-50-202","11-18-77","Woodbine"
-96.78667,33.15556,307,"18-50-901","11-18-77","Woodbine"
-96.71028,33.1525,270,"18-51-701","11-18-77","Woodbine"
-96.65972,33.12861,272,"18-51-901","11-18-77","Woodbine"
-96.65778,33.15194,260,"18-51-902","11-18-77","Woodbine"
-96.50945,33.2325,230,"18-52-301","3-8-77","Woodbine"
-96.60833,33.19083,363,"18-52-402","2-3-77","Woodbine"
-96.67555,33.10222,390,"18-59-202","2-14-77","Woodbine"
-96.64889,33.09972,275,"18-59-303","2-14-77","Woodbine"
